COMB_SKILLBOOK_TILE	Trade books
LOGIN_ID	Login
LOGIN_PASSWORD	Password
M2CF_BUTTON	M2SF
SASH_RESULT	Résultat
PET_ATTR_CHANGE_ITEM_TEXT	Enchant Pet
PET_ATTR_CHANGE_TITLE	Change Pet Type
PET_ATTR_CONFIRMATION	Change
PET_ATTR_DETERMINE_TITLE	New Pet Type
PET_ATTR_OK	Close
PET_BESLE	Nourrir
PET_CELIK_TOPLA	Il vous permet uniquement de récupérer des aciers.
PET_CHANGE_TEXT	Pet
PET_COR_TOPLA	Il vous permet uniquement de récupérer des Cor Draconis.
PET_DENEYIM	Expérience
PET_EVENT_TOPLA	Il vous permet uniquement de collecter des objets d'événement.
PET_EVRIM	Développement
PET_FIYAT	Prix: 100.000 Yang
PET_GIZLE	Il permet de cacher les animaux de compagnie.
PET_HEPSINI_TOPLA	Il vous permet de collecter tous les objets.
PET_ISMI	Nom du familier
PET_KITAP_TOPLA	Il vous permet uniquement de collecter des livres de compétences.
PET_KOSTUM_TOPLA	Il vous permet simplement de récupérer les costumes.
PET_KULUCKA	Couveuse
PET_LV3_SPECIAL_EVO	Level 3 (Special Evolution)
PET_NESNE_EXP	Objet d'EXP
PET_RUH_TASI_TOPLA	Il vous permet uniquement de collecter les pierres.
PET_SANDIK_TOPLA	Il vous permet uniquement de collecter les coffres.
PET_SILAH_TOPLA	Seul lvl75 vous donnera des armes.
PET_SUPER_BABY_WHITE_DRAGON	Super White Baby Dragon
PET_SURE	Durée
PET_SYSTEM_AGE	Âge
PET_SYSTEM_PM	PM
PET_SYSTEM_BONUSES	Bonus
PET_SYSTEM_DEF	Défense
PET_SYSTEM_DURATION	Temps restant
PET_SYSTEM_EVOLVE	Développement
PET_SYSTEM_EXP	Expérience
PET_SYSTEM_FEED	Nourrir
PET_SYSTEM_HATCH	Créer
PET_SYSTEM_HP	PV
PET_SYSTEM_INCUBATOR	Couveuse
PET_SYSTEM_ITEM_EXP	EXP d'Objet
PET_SYSTEM_LEVEL	Niveau
PET_SYSTEM_PET_NAME	Nom du familier
PET_TAKI_TOPLA	Il vous permet uniquement de collecter des bijoux.
PET_YAS	Âge
PET_YUKSELTME_TOPLA	Il vous permet uniquement de collecter des éléments de mise à niveau.
PET_YUMURTADAN_CIK	Couver
TASKBAR_MONEY_EXPAND	Money
ACCEPT	OK
ACCEPT	OK
DESTROY	Détruire
BONUSGUI_TITLE	Bonus
ACCE_ABSORB	Bonus Absorption
ACCE_COMBINE	Combination
ACCE_MAIN	Sash 1
ACCE_RESULT	Result
ACCE_SERVE	Sash 2
OPTION_MOB_INFO	Monster info
OPTION_MOB_INFO_AGGR	Aggressive
OPTION_MOB_INFO_LEVEL	Level
ATTACH_METIN_INFO	Do you want to use the Spirit Stone?
ATTACH_METIN_TITLE	Use Spirit Stone
CANCEL	Cancel
CHANGE_PASSWORD_CONFIRM	Confirm New Password
CHANGE_PASSWORD_NEW	New Password
CHANGE_PASSWORD_OLD	Old Password
CHANGE_PASSWORD_TITLE	Password Change
CHARACTER_ACTION	Emotion
CHARACTER_EMOTICON	Emotion
CHARACTER_MAIN	Character
CHARACTER_MUTUAL_ACTION	Mutual Emotion
CHARACTER_NORMAL_ACTION	Normal Emotion
SELECT_PLAYTIME	Playtime
SELECT_NO_GUILD	No Guild
SELECT_NO_GUILD	No Guild
SELECT_YES_GUILD	Nom de guilde: %s
CHARACTER_QUEST	Missions
CHARACTER_SKILL	Skill
CLOSE	Close
COSTUME_TITLE	Costumes
COSTUME_WINDOW_TITLE	Costumes
CREATE_ATT_GRADE	STR
CREATE_CREATE	Create
CREATE_DEX_GRADE	DEX
CREATE_HP	HP
