COMB_SKILLBOOK_TILE	Combination
LOGIN_ID	Identifiant
LOGIN_PASSWORD	Mot de Passe
M2CF_BUTTON	M2SF
SASH_RESULT	Résultat
PET_ATTR_CHANGE_ITEM_TEXT	Enchantement de familier
PET_ATTR_CHANGE_TITLE	Changer type de pet
PET_ATTR_CONFIRMATION	Changer
PET_ATTR_DETERMINE_TITLE	Nouveau type de familier
PET_ATTR_OK	Fermer
PET_BESLE	Nourrir
PET_CELIK_TOPLA	Il vous permet uniquement de récupérer des aciers.
PET_CHANGE_TEXT	Familier
PET_COR_TOPLA	Il vous permet uniquement de récupérer des Cor Draconis.
PET_DENEYIM	Expérience
PET_EVENT_TOPLA	Il vous permet uniquement de collecter des objets d'événement.
PET_EVRIM	Développement
PET_FIYAT	Prix: 100.000 Yang
PET_GIZLE	Il permet de cacher les animaux de compagnie.
PET_HEPSINI_TOPLA	Il vous permet de collecter tous les objets.
PET_ISMI	Nom du familier
PET_KITAP_TOPLA	Il vous permet uniquement de collecter des livres de compétences.
PET_KOSTUM_TOPLA	Il vous permet simplement de récupérer les costumes.
PET_KULUCKA	Couveuse
PET_LV3_SPECIAL_EVO	Level 3 (Special Evolution)
PET_NESNE_EXP	Objet d'EXP
PET_RUH_TASI_TOPLA	Il vous permet uniquement de collecter les pierres.
PET_SANDIK_TOPLA	Il vous permet uniquement de collecter les coffres.
PET_SILAH_TOPLA	Seul lvl75 vous donnera des armes.
PET_SUPER_BABY_WHITE_DRAGON	Super White Baby Dragon
PET_SURE	Durée
PET_SYSTEM_AGE	Âge
PET_SYSTEM_PM	PM
PET_SYSTEM_BONUSES	Bonus
PET_SYSTEM_DEF	Défense
PET_SYSTEM_DURATION	Temps restant
PET_SYSTEM_EVOLVE	Développement
PET_SYSTEM_EXP	Expérience
PET_SYSTEM_FEED	Nourrir
PET_SYSTEM_HATCH	Créer
PET_SYSTEM_HP	PV
PET_SYSTEM_INCUBATOR	Couveuse
PET_SYSTEM_ITEM_EXP	EXP d'Objet
PET_SYSTEM_LEVEL	Niveau
PET_SYSTEM_PET_NAME	Nom du familier
PET_TAKI_TOPLA	Il vous permet uniquement de collecter des bijoux.
PET_YAS	Âge
PET_YUKSELTME_TOPLA	Il vous permet uniquement de collecter des éléments de mise à niveau.
PET_YUMURTADAN_CIK	Couver
TASKBAR_MONEY_EXPAND	Monnaies
ACCEPT	OK
DESTROY	Détruire
BONUSGUI_TITLE	Bonus
ACCE_ABSORB	Bonus Absorption
ACCE_COMBINE	Fusion
ACCE_MAIN	Étole 1
ACCE_RESULT	Résultat
ACCE_SERVE	Étole 2
ACCEPT	Accepter
OPTION_MOB_INFO	Monstre
OPTION_MOB_INFO_AGGR	Agressif
OPTION_MOB_INFO_LEVEL	Niveau
ATTACH_METIN_INFO	Utiliser la pierre d'esprit ?
ATTACH_METIN_TITLE	La pierre d'Esprit a été liée
CANCEL	Annuler
CHANGE_PASSWORD_CONFIRM	Confirmer le nouveau mot de passe
CHANGE_PASSWORD_NEW	Nouveau mot de passe
CHANGE_PASSWORD_OLD	Ancien mot de passe
CHANGE_PASSWORD_TITLE	Changement de mot de passe
CHARACTER_ACTION	Actions
CHARACTER_EMOTICON	Emotions
CHARACTER_MAIN	Personnage
CHARACTER_MUTUAL_ACTION	Actions partagées
CHARACTER_NORMAL_ACTION	Actions normales
SELECT_PLAYTIME	Temps de jeu: %d minute(s)
SELECT_NO_GUILD	Sans guilde
SELECT_YES_GUILD	Nom de guilde: %s
CHARACTER_QUEST	Missions
CHARACTER_SKILL	Compétences
CLOSE	Fermer
COSTUME_TITLE	Costumes
COSTUME_WINDOW_TITLE	Costumes
