Vnum	Locale_Name
1	Yang
10	Épée+0
11	Épée+1
12	Épée+2
13	Épée+3
14	Épée+4
15	Épée+5
16	Épée+6
17	Épée+7
18	Épée+8
19	Épée+9
20	Épée Longue+0
21	Épée Longue+1
22	Épée Longue+2
23	Épée Longue+3
24	Épée Longue+4
25	Épée Longue+5
26	Épée Longue+6
27	Épée Longue+7
28	Épée Longue+8
29	Épée Longue+9
30	Lame Courbe+0
31	Lame Courbe+1
32	Lame Courbe+2
33	Lame Courbe+3
34	Lame Courbe+4
35	Lame Courbe+5
36	Lame Courbe+6
37	Lame Courbe+7
38	Lame Courbe+8
39	Lame Courbe+9
40	Canne Épée+0
41	Canne Épée+1
42	Canne Épée+2
43	Canne Épée+3
44	Canne Épée+4
45	Canne Épée+5
46	Canne Épée+6
47	Canne Épée+7
48	Canne Épée+8
49	Canne Épée+9
50	Épée Large+0
51	Épée Large+1
52	Épée Large+2
53	Épée Large+3
54	Épée Large+4
55	Épée Large+5
56	Épée Large+6
57	Épée Large+7
58	Épée Large+8
59	Épée Large+9
60	Épée en Argent+0
61	Épée en Argent+1
62	Épée en Argent+2
63	Épée en Argent+3
64	Épée en Argent+4
65	Épée en Argent+5
66	Épée en Argent+6
67	Épée en Argent+7
68	Épée en Argent+8
69	Épée en Argent+9
70	Épée aux Orchidées+0
71	Épée aux Orchidées+1
72	Épée aux Orchidées+2
73	Épée aux Orchidées+3
74	Épée aux Orchidées+4
75	Épée aux Orchidées+5
76	Épée aux Orchidées+6
77	Épée aux Orchidées+7
78	Épée aux Orchidées+8
79	Épée aux Orchidées+9
80	Épée Bâtarde+0
81	Épée Bâtarde+1
82	Épée Bâtarde+2
83	Épée Bâtarde+3
84	Épée Bâtarde+4
85	Épée Bâtarde+5
86	Épée Bâtarde+6
87	Épée Bâtarde+7
88	Épée Bâtarde+8
89	Épée Bâtarde+9
90	Glaive Barbare+0
91	Glaive Barbare+1
92	Glaive Barbare+2
93	Glaive Barbare+3
94	Glaive Barbare+4
95	Glaive Barbare+5
96	Glaive Barbare+6
97	Glaive Barbare+7
98	Glaive Barbare+8
99	Glaive Barbare+9
100	Épée Sanglante+0
101	Épée Sanglante+1
102	Épée Sanglante+2
103	Épée Sanglante+3
104	Épée Sanglante+4
105	Épée Sanglante+5
106	Épée Sanglante+6
107	Épée Sanglante+7
108	Épée Sanglante+8
109	Épée Sanglante+9
110	Grande Épée+0
111	Grande Épée+1
112	Grande Épée+2
113	Grande Épée+3
114	Grande Épée+4
115	Grande Épée+5
116	Grande Épée+6
117	Grande Épée+7
118	Grande Épée+8
119	Grande Épée+9
120	Épée du Magic. Volant+0
121	Épée du Magic. Volant+1
122	Épée du Magic. Volant+2
123	Épée du Magic. Volant+3
124	Épée du Magic. Volant+4
125	Épée du Magic. Volant+5
126	Épée du Magic. Volant+6
127	Épée du Magic. Volant+7
128	Épée du Magic. Volant+8
129	Épée du Magic. Volant+9
130	Épée de Demi-Lune+0
131	Épée de Demi-Lune+1
132	Épée de Demi-Lune+2
133	Épée de Demi-Lune+3
134	Épée de Demi-Lune+4
135	Épée de Demi-Lune+5
136	Épée de Demi-Lune+6
137	Épée de Demi-Lune+7
138	Épée de Demi-Lune+8
139	Épée de Demi-Lune+9
140	Épée de Bataille+0
141	Épée de Bataille+1
142	Épée de Bataille+2
143	Épée de Bataille+3
144	Épée de Bataille+4
145	Épée de Bataille+5
146	Épée de Bataille+6
147	Épée de Bataille+7
148	Épée de Bataille+8
149	Épée de Bataille+9
150	Lame de Croc Fantôme+0
151	Lame de Croc Fantôme+1
152	Lame de Croc Fantôme+2
153	Lame de Croc Fantôme+3
154	Lame de Croc Fantôme+4
155	Lame de Croc Fantôme+5
156	Lame de Croc Fantôme+6
157	Lame de Croc Fantôme+7
158	Lame de Croc Fantôme+8
159	Lame de Croc Fantôme+9
160	Épée de Nymphe+0
161	Épée de Nymphe+1
162	Épée de Nymphe+2
163	Épée de Nymphe+3
164	Épée de Nymphe+4
165	Épée de Nymphe+5
166	Épée de Nymphe+6
167	Épée de Nymphe+7
168	Épée de Nymphe+8
169	Épée de Nymphe+9
170	Épée de Piqûre+0
171	Épée de Piqûre+1
172	Épée de Piqûre+2
173	Épée de Piqûre+3
174	Épée de Piqûre+4
175	Épée de Piqûre+5
176	Épée de Piqûre+6
177	Épée de Piqûre+7
178	Épée de Piqûre+8
179	Épée de Piqûre+9
180	Épée Empoisonnée+0
181	Épée Empoisonnée+1
182	Épée Empoisonnée+2
183	Épée Empoisonnée+3
184	Épée Empoisonnée+4
185	Épée Empoisonnée+5
186	Épée Empoisonnée+6
187	Épée Empoisonnée+7
188	Épée Empoisonnée+8
189	Épée Empoisonnée+9
190	Épée du Lion+0
191	Épée du Lion+1
192	Épée du Lion+2
193	Épée du Lion+3
194	Épée du Lion+4
195	Épée du Lion+5
196	Épée du Lion+6
197	Épée du Lion+7
198	Épée du Lion+8
199	Épée du Lion+9
200	Lame Tranchante+0
201	Lame Tranchante+1
202	Lame Tranchante+2
203	Lame Tranchante+3
204	Lame Tranchante+4
205	Lame Tranchante+5
206	Lame Tranchante+6
207	Lame Tranchante+7
208	Lame Tranchante+8
209	Lame Tranchante+9
240	Épée d'Exorcisme+0
241	Épée d'Exorcisme+1
242	Épée d'Exorcisme+2
243	Épée d'Exorcisme+3
244	Épée d'Exorcisme+4
245	Épée d'Exorcisme+5
246	Épée d'Exorcisme+6
247	Épée d'Exorcisme+7
248	Épée d'Exorcisme+8
249	Épée d'Exorcisme+9
250	Lame Démoniaque+0
251	Lame Démoniaque+1
