VNUM	LOCALE_NAME
101	Chien Errant
102	Loup
103	Loup Alpha
104	Loup Bleu
105	Loup Alpha Bleu
106	Loup Gris
107	Loup Alpha Gris
108	Sanglier
109	Sanglier Rouge
110	Ours
111	Grizzly
112	Ours Noir
113	Ours Brun
114	Tigre
115	Tigre Blanc
131	Loup Maudit
132	Loup Alpha Maudit
133	Loup Bleu Maudit
134	Loup Alpha Bleu Maudit
135	Loup Gris Maudit
136	Loup Alpha Gris Maudit
137	Sanglier Sauvage Maudit
138	Sanglier Rouge Maudit
139	Ours Maudit
140	Grizzly Maudit
141	Ours Noir Maudit
142	Ours Brun Maudit
143	Tigre Maudit
144	Tigre Blanc Maudit
151	Cung-Mok
152	Mu-Rang
153	Jug-Hyul
154	Young-Ji
155	Li-An
171	Chien Errant Affamé
172	Loup Affamé
173	Loup Alpha Affamé
174	Loup Bleu Affamé
175	Loup Alpha Bleu Affamé
176	Loup Gris Affamé
177	Loup Alpha Gris Affamé
178	Sanglier Sauvage Affamé
179	Sanglier Rouge Affamé
180	Ours Affamé
181	Grizzly Affamé
182	Ours Noir Affamé
183	Ours Brun Affamé
184	Tigre Affamé
185	Tigre Blanc Affamé
191	Lykos
192	Scrofa
193	Bera
194	Tigris
301	Soldat du Serment Blanc
302	Archer du Serment Blanc
303	Général du Serment Blanc
304	Cdt du Serment Blanc
331	Soldat du Serment Blanc
332	Archer du Serment Blanc
333	Général du Serment Blanc
334	Cdt du Serment Blanc
351	Sold du Serment Craintif
352	Arc du Serment Craintif
353	Gal du Serment Craintif
354	Cdt du Serment Craintif
391	Mi-Jung
392	Eun-Jung
393	Se-Rang
394	Jin-Hee
395	Mi-Jung Déprimée
396	Eun-Jung Déprimée
397	Se-Rang Déprimée
398	Jin-Hee Déprimée
401	Soldat du Vent Noir
402	Maniac du Vent Noir
403	Archer du Vent Noir
404	Jak-To du Vent Noir
405	To-Su du Vent Noir
406	Gu-Ryung du Vent Noir
431	Soldat Tempête Noire
432	Maniac Tempête Noire
433	Archer Tempête Noire
434	Joh-Hwan Tempête Noire
435	Kyuk-Jang Tempête Noire
436	Pho-Hwan Tempête Noire
451	Soldat T.Noire du Mal
452	Maniac T.Noire du Mal
453	Archer T.Noire du Mal
454	Joh-Hwan T.Noire du Mal
455	Kyuk-Jang T.Noire du Mal
456	Pho-Hwang T.Noire du Mal
491	Mahon
492	Bo
493	Goo-Pae
494	Chuong
501	Soldat Barbare
502	Minion Barbare
503	Archer Barbare
504	Général Barbare
531	Soldat Bestial
532	Maniac Bestial
533	Archer Bestial
534	Spécialiste Bestial
551	Fort Soldat Barbare
552	Fort Minion Barbare
553	Fort Archer Barbare
554	Fort Général Barbare
591	Capitaine Bestial
595	Geum-Chul Bestial
601	Orc
602	Eclaireur Orc
603	Combattant Orc
604	Sorcier Orc
631	Orc Élite
632	Eclaireur Orc Élite
633	Combattant Orc Élite
634	Sorcier Orc Élite
635	Général Orc Élite
636	Orc Noir
637	Orc Noir Géant
651	Gros Orc Intrépide
652	Gros Eclaireur Orc
653	Gros Combattant Orc
654	Gros Sorcier Orc
655	Gros Général Orc
656	Orc Noir Intrépide
657	Orc Noir Géant Intrépide
691	Chef Orc
692	Chef Orc Élite
693	Chef Orc Régéneré
701	Fanatique Funeste
702	Arahan Funeste
703	Combattant Funeste
704	Chef Arahan Funeste
705	Exécuteur Funeste
706	Bourreau Funeste
707	Invocateur Funeste
731	Fier Fanatique Funeste
732	Fier Arahan Funeste
733	Fier Combattant Funeste
734	Fier Chef Funeste
735	Fier Exécuteur Funeste
736	Tourmenteur Éso. Élite
737	Invocateur Ésot. Élite
751	Haut Fanatique
752	Haut Arahan
753	Combattant Haut Arahan
754	Haut Arahan Élite
755	Haut Juge
756	Haut Tourmenteur
757	Haut Évocateur
771	Fanatic Bestial
772	Arahan Bestial
773	Combattant Arahan Best.
774	Chef Arahan Bestial
775	Juge Bestial
776	Tourmenteur Bestial
777	Evocateur Bestial
791	Chef Funeste
792	Chef Esotérique Réincarné
793	Chef Funeste Elite
794	Chef Esotérique Réinc. Élite
795	Combattant Élite
796	Combattant Ésot. Élite
901	Ame d'un Corps sans Vie
902	Chien Pestiféré
903	Pestiféré
904	Soldat Pestiféré
905	Lancier Pestiféré
906	Archer Pestiféré
907	Chef Pestiféré
931	Ame Furieuse
932	Chien Infecté Enragé
933	Pestiféré Furieux
934	Combattant Pest. Furieux
935	Lancier Pest. Furieux
936	Archer Pestiféré Furieux
937	Chef Pestiféré Furieux
991	Oeuf Infecté
992	Porteur Pestiféré
993	Porteur Géant Pestiféré
1001	Soldat Démoniaque
1002	Archer Démon
1003	Lancier Démoniaque
1004	Chamane Démoniaque
1031	Vil Soldat Démoniaque
1032	Vil Archer Démoniaque
1033	Vil Lancier Démoniaque
1034	Vil Chamane Démoniaque
1035	Esprit de Rancune
1036	Esprit du Chaos
1037	Vil Chef Démoniaque
1038	Maître à Épée Squelette
1039	Tête de Mort Volante
1040	Esprit Éternel
1041	Bête Démoniaque
1061	Vil Soldat Démoniaque
1062	Vil Archer Démoniaque
1063	Vil Lancier Démoniaque
1064	Vil Chamane Démoniaque
1065	Vil Esprit de Rancune
1066	Vil Esprit du Chaos
